week,home_team_id,away_team_id,home_team_name,away_team_name,home_score,away_score
12,9769354,9769353,RFA (RFA),You Know The Vibes (YKV),,
12,9822637,9822641,Nox Nieman (NOX),I Remember Cal (IRC),,
12,9822641,9769355,I Remember Cal (IRC),Collective Chaos (CC),,
12,9769365,9822655,Frands (FRA),Not Anyone Can Frag (NCF),,
12,9769356,9822654,WAIFU (WAF),Total System Control (TSC),,
12,9769354,9769365,RFA (RFA),Frands (FRA),,
12,9822638,9822640,Ript Gaming (RG),Bona Fide (BF),,
12,9769354,9822656,RFA (RFA),Fake Flashers (FF),,
12,9822639,9769353,Plebmobile (PLE),You Know The Vibes (YKV),,
12,9823963,9822640,Sussy Baka (SSB),Bona Fide (BF),0,0
12,9769352,9822638,Brain Bots (BRB),Ript Gaming (RG),,
12,9822636,9769355,Teen Titans (TT),Collective Chaos (CC),,
12,9822656,9769358,Fake Flashers (FF),Trash Pandas (TP),0,0
12,9769356,9823963,WAIFU (WAF),Sussy Baka (SSB),0,0
12,9769355,9822639,Collective Chaos (CC),Plebmobile (PLE),,
12,9822656,9769352,Fake Flashers (FF),Brain Bots (BRB),,
12,9822636,9822654,Teen Titans (TT),Total System Control (TSC),,
13,9769355,9769354,Collective Chaos (CC),RFA (RFA),,
13,9769354,9822636,RFA (RFA),Teen Titans (TT),,
13,9822636,9823963,Teen Titans (TT),Sussy Baka (SSB),0,0
13,9822654,9822641,Total System Control (TSC),I Remember Cal (IRC),,
13,9822655,9769352,Not Anyone Can Frag (NCF),Brain Bots (BRB),,
13,9822640,9822641,Bona Fide (BF),I Remember Cal (IRC),,
13,9769355,9822638,Collective Chaos (CC),Ript Gaming (RG),,
13,9822638,9769358,Ript Gaming (RG),Trash Pandas (TP),0,0
13,9822637,9769365,Nox Nieman (NOX),Frands (FRA),,
13,9823963,9822654,Sussy Baka (SSB),Total System Control (TSC),0,0
13,9769365,9769352,Frands (FRA),Brain Bots (BRB),,
13,9822640,9822639,Bona Fide (BF),Plebmobile (PLE),,
13,9769358,9769353,Trash Pandas (TP),You Know The Vibes (YKV),0,0
13,9822639,9822656,Plebmobile (PLE),Fake Flashers (FF),,
13,9822655,9769356,Not Anyone Can Frag (NCF),WAIFU (WAF),,
13,9769353,9769355,You Know The Vibes (YKV),Collective Chaos (CC),,
13,9822656,9769353,Fake Flashers (FF),You Know The Vibes (YKV),,
13,9769356,9822637,WAIFU (WAF),Nox Nieman (NOX),,
14,9822637,9822638,Nox Nieman (NOX),Ript Gaming (RG),,
14,9769365,9769355,Frands (FRA),Collective Chaos (CC),,
14,9822641,9822655,I Remember Cal (IRC),Not Anyone Can Frag (NCF),,
14,9769358,9769352,Trash Pandas (TP),Brain Bots (BRB),0,0
14,9769356,9822641,WAIFU (WAF),I Remember Cal (IRC),,
14,9822640,9822654,Bona Fide (BF),Total System Control (TSC),,
14,9769354,9822639,RFA (RFA),Plebmobile (PLE),,
14,9822639,9822640,Plebmobile (PLE),Bona Fide (BF),,
14,9769365,9822656,Frands (FRA),Fake Flashers (FF),,
14,9769355,9822656,Collective Chaos (CC),Fake Flashers (FF),,
14,9822637,9769358,Nox Nieman (NOX),Trash Pandas (TP),0,0
14,9769352,9823963,Brain Bots (BRB),Sussy Baka (SSB),0,0
14,9769354,9769358,RFA (RFA),Trash Pandas (TP),0,0
14,9769353,9822636,You Know The Vibes (YKV),Teen Titans (TT),,
14,9822656,9822655,Fake Flashers (FF),Not Anyone Can Frag (NCF),,
14,9822654,9769353,Total System Control (TSC),You Know The Vibes (YKV),,
14,9822636,9769356,Teen Titans (TT),WAIFU (WAF),,
14,9822638,9823963,Ript Gaming (RG),Sussy Baka (SSB),0,0
14,9822639,9769352,Plebmobile (PLE),Brain Bots (BRB),,
15,9822641,9769358,I Remember Cal (IRC),Trash Pandas (TP),0,0
15,9769355,9822654,Collective Chaos (CC),Total System Control (TSC),,
15,9822640,9823963,Bona Fide (BF),Sussy Baka (SSB),0,0
15,9822638,9769365,Ript Gaming (RG),Frands (FRA),,
15,9822637,9769355,Nox Nieman (NOX),Collective Chaos (CC),,
15,9769353,9823963,You Know The Vibes (YKV),Sussy Baka (SSB),0,0
15,9769356,9822638,WAIFU (WAF),Ript Gaming (RG),,
15,9822655,9822636,Not Anyone Can Frag (NCF),Teen Titans (TT),,
15,9822640,9769354,Bona Fide (BF),RFA (RFA),,
15,9822654,9822656,Total System Control (TSC),Fake Flashers (FF),,
15,9822655,9769358,Not Anyone Can Frag (NCF),Trash Pandas (TP),0,0
15,9822637,9769353,Nox Nieman (NOX),You Know The Vibes (YKV),,
15,9822641,9769352,I Remember Cal (IRC),Brain Bots (BRB),,
15,9822636,9822638,Teen Titans (TT),Ript Gaming (RG),,
15,9769354,9769352,RFA (RFA),Brain Bots (BRB),,
15,9769365,9822639,Frands (FRA),Plebmobile (PLE),,
15,9822656,9769356,Fake Flashers (FF),WAIFU (WAF),,
